epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.033,0,112.797,0,0,0,0,0,0,166.984,0,0.00040625,0.00040625,0.00040625
2,316.015,0,90.6224,0,0,0,0,0,0,174.906,0,0.000768604,0.000768604,0.000768604
3,571.897,0,78.2667,0,0,0,0,0,0,128.43,0,0.00107596,0.00107596,0.00107596
4,728.839,0,67.522,0,0,0,0,0,0,102.699,0,0.0010025,0.0010025,0.0010025
5,936.893,0,57.6508,0,0,0,0,0,0,88.9316,0,0.00092,0.00092,0.00092
6,1093.15,0,49.104,0,0,0,0,0,0,153.968,0,0.0008375,0.0008375,0.0008375
7,1249.46,0,42.1002,0,0,0,0,0,0,65.2874,0,0.000755,0.000755,0.000755
8,1405.68,0,36.3721,0,0,0,0,0,0,58.8394,0,0.0006725,0.0006725,0.0006725
9,1613.01,0,31.6693,0,0,0,0,0,0,47.9524,0,0.00059,0.00059,0.00059
10,1768.57,0,27.9166,0,0,0,0,0,0,53.5996,0,0.0005075,0.0005075,0.0005075
11,1927.81,0,25.0351,0,0,0,0,0,0,40.5491,0,0.000425,0.000425,0.000425
