epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2412,0.6528,2.24594,1.05001,0.77633,0.65903,0.79665,0.68669,0.52445,2.15937,1.04396,0.0002222,0.0002222,0.0002222
2,24.8248,0.58269,0.92224,0.98132,0.94628,0.88383,0.93075,0.74039,0.72912,1.30641,1.23798,0.000432962,0.000432962,0.000432962
3,36.5318,0.60748,0.72784,1.01332,0.79982,0.64065,0.70735,0.58944,0.76793,1.49733,1.29809,0.000620627,0.000620627,0.000620627
4,47.7519,0.64183,0.72305,1.02274,0.38611,0.47335,0.48067,0.34962,1.13104,2.23992,1.70109,0.000785194,0.000785194,0.000785194
5,59.1075,0.65981,0.64707,1.04048,0.76608,0.55971,0.69964,0.53077,1.02193,1.63789,1.47536,0.000891022,0.000891022,0.000891022
6,70.5467,0.62123,0.62407,1.01429,0.66145,0.70176,0.74719,0.56631,0.95103,1.59175,1.48747,0.000836027,0.000836027,0.000836027
7,81.9789,0.5902,0.59452,1.01031,0.73512,0.7533,0.84113,0.65368,0.67167,1.24429,1.14646,0.000781033,0.000781033,0.000781033
8,93.5491,0.56622,0.5093,0.98052,0.892,0.81337,0.91617,0.76389,0.68775,0.7192,1.2325,0.000726038,0.000726038,0.000726038
9,105.446,0.55707,0.51233,0.97671,0.97602,0.90256,0.9778,0.79401,0.63073,0.581,1.11838,0.000671044,0.000671044,0.000671044
10,117.258,0.55019,0.51966,0.98728,0.9576,0.95408,0.98627,0.8531,0.58341,0.42275,1.06959,0.000616049,0.000616049,0.000616049
11,129.865,0.51931,0.42839,1.01492,0.95151,0.97357,0.98192,0.85632,0.55507,0.44385,1.06899,0.000561055,0.000561055,0.000561055
12,142.02,0.48634,0.38881,0.98264,0.87808,0.96262,0.96628,0.81272,0.59984,0.51807,1.10581,0.00050606,0.00050606,0.00050606
13,153.49,0.46597,0.36802,0.97504,0.92294,0.93059,0.98035,0.82142,0.59488,0.4971,1.10279,0.000451066,0.000451066,0.000451066
14,164.765,0.44993,0.35593,0.96978,0.93893,0.95247,0.98967,0.85096,0.55832,0.38738,1.0942,0.000396071,0.000396071,0.000396071
15,176.151,0.43169,0.3352,0.93971,0.95717,0.96856,0.99271,0.86112,0.56211,0.39412,1.07781,0.000341077,0.000341077,0.000341077
16,188.079,0.42489,0.31394,0.93011,0.98313,0.96905,0.995,0.87284,0.50656,0.30963,1.00594,0.000286083,0.000286083,0.000286083
17,199.652,0.40621,0.29443,0.92087,0.95792,0.98037,0.98843,0.89923,0.51121,0.33428,1.01916,0.000231088,0.000231088,0.000231088
18,211.275,0.38768,0.28412,0.91721,0.95353,0.99684,0.995,0.8937,0.49202,0.296,1.00009,0.000176094,0.000176094,0.000176094
19,222.678,0.35072,0.25294,0.89765,0.96017,0.95989,0.995,0.88804,0.47501,0.2789,0.99191,0.000121099,0.000121099,0.000121099
20,233.999,0.35976,0.24612,0.89783,0.94894,0.97839,0.98966,0.88471,0.50925,0.30389,1.01314,6.61045e-05,6.61045e-05,6.61045e-05
